Unnamed: 0.1,Unnamed: 0,German,English
0,0,ich,I
1,1,sie,she
2,2,das,the
3,3,ist,is
4,4,du,you
5,5,nicht,not
6,6,die,the
7,7,es,it
8,8,und,and
9,9,der,the
10,11,zu,to
11,12,er,he
12,13,ein,a
13,14,in,in
14,15,ja,Yes
15,16,mit,with
16,17,wie,How
17,18,den,the
18,20,auf,on
19,21,dass,that
20,22,aber,but
21,23,eine,one
22,24,so,so
23,25,hat,has
24,26,hier,here
25,27,haben,have
26,28,für,for
27,29,sind,are
28,30,war,was
29,31,von,from
30,33,dich,you
31,34,ihr,her
33,36,habe,have
34,37,an,to
35,38,bin,am
36,39,noch,still
37,40,nur,only
38,41,da,there
39,42,dir,you
40,43,sich,itself
41,44,einen,a
42,45,uns,us
43,46,hast,have
44,47,dem,to that
45,48,kann,can
46,49,gut,good
47,50,auch,also
48,51,schon,already
50,53,sein,be
51,54,mal,just
52,55,jetzt,now
53,56,ihn,him
54,57,dann,then
55,58,aus,out of
56,59,meine,mine
57,60,um,to
58,61,im,in the
59,62,wird,becomes
60,63,mein,my
61,64,bist,are
62,65,doch,but
63,66,alles,everything
64,67,weiß,white
65,68,oder,or
66,69,nach,after
67,70,nichts,nothing
68,71,man,one
69,72,muss,must
70,73,werden,become
71,74,will,wants
72,75,ihnen,them
73,76,geht,goes
74,77,wo,where
75,78,etwas,something
76,79,oh,Oh
77,80,mehr,more
78,81,bei,at
79,82,also,so
80,83,bitte,please
81,84,immer,always
82,85,hab,have
83,86,warum,Why
84,87,vor,before
85,88,los,go
86,89,können,can
87,90,wieder,again
89,92,machen,make
90,93,danke,Thanks
91,94,sehr,very
92,95,alle,all
